"","time","n","p","replicate"
"1",0,24.7642586006045,4.18075940752421,1
"2",3.44827586206897,35.1956233943806,5.85827503164943,1
"3",6.89655172413793,36.4337638265225,10.9157852534004,1
"4",10.3448275862069,24.0593969698812,23.1147040688085,1
"5",13.7931034482759,10.6201827371073,21.8867022317186,1
"6",17.2413793103448,6.63848423837162,13.7740480287347,1
"7",20.6896551724138,7.61993788717893,8.58200831842823,1
"8",24.1379310344828,9.32475335743014,5.90418363012904,1
"9",27.5862068965517,15.3759715797182,4.23076905793823,1
"10",31.0344827586207,19.8442125983407,3.75276945547645,1
"11",34.4827586206897,26.7584834700603,4.15158498333351,1
"12",37.9310344827586,41.2104975417521,7.26255527806155,1
"13",41.3793103448276,33.444823132288,15.4785357676715,1
"14",44.8275862068965,18.3318567234709,18.6853227542491,1
"15",48.2758620689655,10.2272574582608,16.7636963830163,1
"16",51.7241379310345,5.86060999714066,10.7803803596182,1
"17",55.1724137931034,6.54732543330476,8.68497298283536,1
"18",58.6206896551724,10.444150354636,5.65212853744752,1
"19",62.0689655172414,15.5425195960082,4.20317881898439,1
"20",65.5172413793103,22.8410765646545,3.61915787086152,1
"21",68.9655172413793,36.1078714282459,5.34811678071562,1
"22",72.4137931034483,50.1317253992955,9.70942620848999,1
"23",75.8620689655172,32.6444354813611,15.539853508077,1
"24",79.3103448275862,14.7419210465852,22.5259927666389,1
"25",82.7586206896552,8.37080845517312,13.638693112029,1
"26",86.2068965517241,7.36767933454045,10.4868878112607,1
"27",89.6551724137931,8.91360595428483,6.34678941501223,1
"28",93.1034482758621,9.73200805018531,4.95868246526072,1
"29",96.551724137931,16.4177067130151,3.6211681975212,1
"30",100,27.8889990977807,3.72704814768693,1
"31",0,25.9177359316992,5.41616477655611,2
"32",3.44827586206897,36.6783302514343,7.62948566925816,2
"33",6.89655172413793,26.3417909064063,10.9631304182828,2
"34",10.3448275862069,27.6391954269381,16.5925623745326,2
"35",13.7931034482759,14.8380040258795,15.1021958631075,2
"36",17.2413793103448,10.2838153925369,10.8371342353807,2
"37",20.6896551724138,8.21453369752067,9.34161142521714,2
"38",24.1379310344828,13.0069198805629,6.18749540342088,2
"39",27.5862068965517,15.4630314682813,5.54635138980402,2
"40",31.0344827586207,24.4740211190355,6.23376712291318,2
"41",34.4827586206897,24.4954764690454,7.31254531180978,2
"42",37.9310344827586,38.2080117538078,9.98972813982398,2
"43",41.3793103448276,23.1513369372481,16.5908653066205,2
"44",44.8275862068965,17.6449199287554,16.3727506509648,2
"45",48.2758620689655,14.7501533128114,12.2335564197787,2
"46",51.7241379310345,11.4973190817171,10.7180035103708,2
"47",55.1724137931034,11.8792038781488,7.70555668093359,2
"48",58.6206896551724,15.355973917428,6.12431308533708,2
"49",62.0689655172414,20.9627532883819,5.37809201105211,2
"50",65.5172413793103,27.4308436153296,5.40506551300733,2
"51",68.9655172413793,40.5484779656792,9.53216533322096,2
"52",72.4137931034483,30.3662989790114,12.8094736756596,2
"53",75.8620689655172,23.8494888568822,16.4592840911721,2
"54",79.3103448275862,13.7585105046505,12.7493840223992,2
"55",82.7586206896552,11.5839017845582,13.6357949799531,2
"56",86.2068965517241,11.6768810663462,8.80317730590798,2
"57",89.6551724137931,12.9157543718115,6.10985074104029,2
"58",93.1034482758621,21.1562825341906,5.52369132488124,2
"59",96.551724137931,26.3969046761324,4.96573447466169,2
"60",100,35.6952908821704,8.68993644103271,2
"61",0,28.7963567420542,8.7676462049986,3
"62",3.44827586206897,26.4421917068701,11.6838365917976,3
"63",6.89655172413793,19.4493748965406,14.2970503715229,3
"64",10.3448275862069,14.9158871203711,14.311056794576,3
"65",13.7931034482759,12.2719141592646,10.8554104041769,3
"66",17.2413793103448,13.6319698798603,8.53515914920086,3
"67",20.6896551724138,14.685698796205,10.0427286881897,3
"68",24.1379310344828,17.8010070005944,7.81504712799782,3
"69",27.5862068965517,24.0107862298142,7.52683039550545,3
"70",31.0344827586207,24.506769259589,8.04223009261859,3
"71",34.4827586206897,25.1257569192985,11.3195459528907,3
"72",37.9310344827586,21.7290951079923,13.1134194876527,3
"73",41.3793103448276,15.8707988612833,15.9941362014854,3
"74",44.8275862068965,14.1966193485723,12.8765828503104,3
"75",48.2758620689655,12.9338819200038,9.60244127623851,3
