"","time","S","I","R","replicate"
"1",0,16224.3295484222,9.49027689616196,0,1
"2",5.17241379310345,16204.5852450507,23.3819859234812,5.85259434417848,1
"3",10.3448275862069,16151.0071524844,64.168661191824,18.6440116421767,1
"4",15.5172413793103,16076.7387228477,115.159559863007,41.9215426077199,1
"5",20.6896551724138,16068.529048265,85.7975276936432,79.4932493598122,1
"6",25.8620689655172,15966.3122541468,149.331155022778,118.176416148809,1
"7",31.0344827586207,15790.9464354718,256.166995798234,186.706394048352,1
"8",36.2068965517241,15601.7841745255,345.324388327019,286.711262465843,1
"9",41.3793103448276,15245.8878656574,531.797541244794,456.134418416263,1
"10",46.551724137931,14554.490587242,967.514276855715,711.814961220674,1
"11",51.7241379310345,14007.2716516004,1135.92305856035,1090.62511515769,1
"12",56.8965517241379,12809.4742390255,1809.9671415215,1614.37844477145,1
"13",62.0689655172414,11861.0257759389,1978.79839772672,2393.99565165276,1
"14",67.2413793103448,10492.4537783151,2658.46038199206,3082.90566501129,1
"15",72.4137931034483,6992.71812995301,4801.74230835261,4439.3593870128,1
"16",77.5862068965517,4014.78269949843,5880.52900109624,6338.50812472374,1
"17",82.7586206896552,1553.51643190435,6172.36794146756,8507.9354519465,1
"18",87.9310344827586,1001.58984283585,4696.02236227068,10536.2076202119,1
"19",93.1034482758621,540.782842606907,3591.83696355479,12101.2000191567,1
"20",98.2758620689655,238.238264131153,2697.1924392134,13298.3891219739,1
"21",103.448275862069,146.001266477599,1910.52653275305,14177.2920260878,1
"22",108.620689655172,134.84949106398,1307.92765719323,14791.0426770612,1
"23",113.793103448276,115.23253143289,906.13944762093,15212.4478462646,1
"24",118.965517241379,100.661248555626,629.47305978075,15503.685516982,1
"25",124.137931034483,90.0663923833401,437.33029585384,15706.4231370812,1
"26",129.310344827586,88.3549235498811,298.720476325114,15846.7444254434,1
"27",134.48275862069,88.3016303878751,203.08126034918,15942.4369345814,1
"28",139.655172413793,86.8047878493618,139.185589865785,16007.8294476033,1
"29",144.827586206897,85.807023640545,95.5905951383365,16052.4222065395,1
"30",150,85.591713035816,65.1852102719861,16083.0429020106,1
"31",0,6522.19756506383,17.4937160541303,0,2
"32",5.17241379310345,6510.9645057024,22.4912205059597,6.23555490960286,2
"33",10.3448275862069,6451.74996732235,68.7875395857094,19.1537742099048,2
"34",15.5172413793103,6397.74441035792,93.212996030526,48.7338747295191,2
